player,pos,salary,team
Brian Duensing,RP,1300000,MIN
Drew Butera,DNP,7.00E+05,MIN
Tim Wood,DNP,675000,MIN
Scott Diamond,SP,530000,MIN
Vance Worley,SP,525000,MIN
Trevor Plouffe,3B,520000,MIN
Josh Roenicke,RP,505000,MIN
Anthony Swarzak,RP,502500,MIN
Liam Hendriks,SP,5.00E+05,MIN
Casey Fien,RP,5.00E+05,MIN
Cole De Vries,DNP,5.00E+05,MIN
Darin Mastroianni,LF,5.00E+05,MIN
Brian Dozier,2B,497500,MIN
Tyler Robertson,RP,497500,MIN
Chris Parmelee,RF,497500,MIN
Pedro Florimon Jr.,SS,495000,MIN
Eduardo Escobar,SS,495000,MIN
Ryan Pressly,RP,490000,MIN
Aaron Hicks,CF,490000,MIN
Wilkin Ramirez,PH,490000,MIN
Kyle Lohse,SP,1.10E+07,MIL
Rickie Weeks,2B,1.10E+07,MIL
Corey Hart,DNP,10333333,MIL
Aramis Ramirez,3B,1.00E+07,MIL
Ryan Braun,LF,9500000,MIL
Yovani Gallardo,SP,8.00E+06,MIL
John Axford,RP,5.00E+06,MIL
Carlos Gomez,CF,4300000,MIL
Tom Gorzelanny,RP,2750000,MIL
Michael Gonzalez,RP,2250000,MIL
Marco Estrada,SP,1955000,MIL
Burke Badenhop,RP,1550000,MIL
Alex Gonzalez,1B,1450000,MIL
Norichika Aoki,RF,1250000,MIL
Yuniesky Betancourt,3B,9.00E+05,MIL
Jonathan Lucroy,C,850000,MIL
Chris Narveson,RP,840000,MIL
Mike Fiers,SP,498000,MIL
Martin Maldonado,C,494000,MIL
Jim Henderson,RP,492000,MIL
Jean Segura,SS,492000,MIL
Brandon Kintzler,RP,491000,MIL
Taylor Green,DNP,491000,MIL
Mark Rogers,DNP,491000,MIL
Mat Gamel,DNP,491000,MIL
Jeff Bianchi,3B,490000,MIL
Khris Davis,PH,490000,MIL
Wily Peralta,SP,490000,MIL
Logan Schafer,PH,490000,MIL
Ricky Nolasco,SP,11500000,MIA
