"","cty","STATE","FIPS","staTeabb","county","matchfield"
"1624","McCone","Montana","30055","MT","MCCONE","MCCONE MT"
"1625","Madison","Montana","30057","MT","MADISON","MADISON MT"
"1626","Meagher","Montana","30059","MT","MEAGHER","MEAGHER MT"
"1627","Mineral","Montana","30061","MT","MINERAL","MINERAL MT"
"1628","Missoula","Montana","30063","MT","MISSOULA","MISSOULA MT"
"1629","Musselshell","Montana","30065","MT","MUSSELSHELL","MUSSELSHELL MT"
"1630","Park","Montana","30067","MT","PARK","PARK MT"
"1631","Petroleum","Montana","30069","MT","PETROLEUM","PETROLEUM MT"
"1632","Phillips","Montana","30071","MT","PHILLIPS","PHILLIPS MT"
"1633","Pondera","Montana","30073","MT","PONDERA","PONDERA MT"
"1634","Powder River","Montana","30075","MT","POWDER RIVER","POWDER RIVER MT"
"1635","Powell","Montana","30077","MT","POWELL","POWELL MT"
"1636","Prairie","Montana","30079","MT","PRAIRIE","PRAIRIE MT"
"1637","Ravalli","Montana","30081","MT","RAVALLI","RAVALLI MT"
"1638","Richland","Montana","30083","MT","RICHLAND","RICHLAND MT"
"1639","Roosevelt","Montana","30085","MT","ROOSEVELT","ROOSEVELT MT"
"1640","Rosebud","Montana","30087","MT","ROSEBUD","ROSEBUD MT"
"1641","Sanders","Montana","30089","MT","SANDERS","SANDERS MT"
"1642","Sheridan","Montana","30091","MT","SHERIDAN","SHERIDAN MT"
"1643","Silver Bow","Montana","30093","MT","SILVER BOW","SILVER BOW MT"
"1644","Stillwater","Montana","30095","MT","STILLWATER","STILLWATER MT"
"1645","Sweet Grass","Montana","30097","MT","SWEET GRASS","SWEET GRASS MT"
"1646","Teton","Montana","30099","MT","TETON","TETON MT"
"1647","Toole","Montana","30101","MT","TOOLE","TOOLE MT"
"1648","Treasure","Montana","30103","MT","TREASURE","TREASURE MT"
"1649","Valley","Montana","30105","MT","VALLEY","VALLEY MT"
"1650","Wheatland","Montana","30107","MT","WHEATLAND","WHEATLAND MT"
"1651","Wibaux","Montana","30109","MT","WIBAUX","WIBAUX MT"
"1652","Yellowstone","Montana","30111","MT","YELLOWSTONE","YELLOWSTONE MT"
"1653","Adams","Nebraska","31001","NE","ADAMS","ADAMS NE"
"1654","Antelope","Nebraska","31003","NE","ANTELOPE","ANTELOPE NE"
"1655","Arthur","Nebraska","31005","NE","ARTHUR","ARTHUR NE"
"1656","Banner","Nebraska","31007","NE","BANNER","BANNER NE"
"1657","Blaine","Nebraska","31009","NE","BLAINE","BLAINE NE"
"1658","Boone","Nebraska","31011","NE","BOONE","BOONE NE"
"1659","Box Butte","Nebraska","31013","NE","BOX BUTTE","BOX BUTTE NE"
"1660","Boyd","Nebraska","31015","NE","BOYD","BOYD NE"
"1661","Brown","Nebraska","31017","NE","BROWN","BROWN NE"
"1662","Buffalo","Nebraska","31019","NE","BUFFALO","BUFFALO NE"
"1663","Burt","Nebraska","31021","NE","BURT","BURT NE"
"1664","Butler","Nebraska","31023","NE","BUTLER","BUTLER NE"
"1665","Cass","Nebraska","31025","NE","CASS","CASS NE"
"1666","Cedar","Nebraska","31027","NE","CEDAR","CEDAR NE"
"1667","Chase","Nebraska","31029","NE","CHASE","CHASE NE"
"1668","Cherry","Nebraska","31031","NE","CHERRY","CHERRY NE"
"1669","Cheyenne","Nebraska","31033","NE","CHEYENNE","CHEYENNE NE"
"1670","Clay","Nebraska","31035","NE","CLAY","CLAY NE"
"1671","Colfax","Nebraska","31037","NE","COLFAX","COLFAX NE"
"1672","Cuming","Nebraska","31039","NE","CUMING","CUMING NE"
"1673","Custer","Nebraska","31041","NE","CUSTER","CUSTER NE"
"1674","Dakota","Nebraska","31043","NE","DAKOTA","DAKOTA NE"
"1675","Dawes","Nebraska","31045","NE","DAWES","DAWES NE"
"1676","Dawson","Nebraska","31047","NE","DAWSON","DAWSON NE"
"1677","Deuel","Nebraska","31049","NE","DEUEL","DEUEL NE"
"1678","Dixon","Nebraska","31051","NE","DIXON","DIXON NE"
"1679","Dodge","Nebraska","31053","NE","DODGE","DODGE NE"
"1680","Douglas","Nebraska","31055","NE","DOUGLAS","DOUGLAS NE"
"1681","Dundy","Nebraska","31057","NE","DUNDY","DUNDY NE"
"1682","Fillmore","Nebraska","31059","NE","FILLMORE","FILLMORE NE"
"1683","Franklin","Nebraska","31061","NE","FRANKLIN","FRANKLIN NE"
"1684","Frontier","Nebraska","31063","NE","FRONTIER","FRONTIER NE"
"1685","Furnas","Nebraska","31065","NE","FURNAS","FURNAS NE"
"1686","Gage","Nebraska","31067","NE","GAGE","GAGE NE"
"1687","Garden","Nebraska","31069","NE","GARDEN","GARDEN NE"
"1688","Garfield","Nebraska","31071","NE","GARFIELD","GARFIELD NE"
"1689","Gosper","Nebraska","31073","NE","GOSPER","GOSPER NE"
"1690","Grant","Nebraska","31075","NE","GRANT","GRANT NE"
"1691","Greeley","Nebraska","31077","NE","GREELEY","GREELEY NE"
"1692","Hall","Nebraska","31079","NE","HALL","HALL NE"
"1693","Hamilton","Nebraska","31081","NE","HAMILTON","HAMILTON NE"
"1694","Harlan","Nebraska","31083","NE","HARLAN","HARLAN NE"
"1695","Hayes","Nebraska","31085","NE","HAYES","HAYES NE"
"1696","Hitchcock","Nebraska","31087","NE","HITCHCOCK","HITCHCOCK NE"
"1697","Holt","Nebraska","31089","NE","HOLT","HOLT NE"
"1698","Hooker","Nebraska","31091","NE","HOOKER","HOOKER NE"
"1699","Howard","Nebraska","31093","NE","HOWARD","HOWARD NE"
"1700","Jefferson","Nebraska","31095","NE","JEFFERSON","JEFFERSON NE"
"1701","Johnson","Nebraska","31097","NE","JOHNSON","JOHNSON NE"
"1702","Kearney","Nebraska","31099","NE","KEARNEY","KEARNEY NE"
"1703","Keith","Nebraska","31101","NE","KEITH","KEITH NE"
"1704","Keya Paha","Nebraska","31103","NE","KEYA PAHA","KEYA PAHA NE"
"1705","Kimball","Nebraska","31105","NE","KIMBALL","KIMBALL NE"
"1706","Knox","Nebraska","31107","NE","KNOX","KNOX NE"
"1707","Lancaster","Nebraska","31109","NE","LANCASTER","LANCASTER NE"
"1708","Lincoln","Nebraska","31111","NE","LINCOLN","LINCOLN NE"
"1709","Logan","Nebraska","31113","NE","LOGAN","LOGAN NE"
"1710","Loup","Nebraska","31115","NE","LOUP","LOUP NE"
"1711","McPherson","Nebraska","31117","NE","MCPHERSON","MCPHERSON NE"
"1712","Madison","Nebraska","31119","NE","MADISON","MADISON NE"
"1713","Merrick","Nebraska","31121","NE","MERRICK","MERRICK NE"
"1714","Morrill","Nebraska","31123","NE","MORRILL","MORRILL NE"
"1715","Nance","Nebraska","31125","NE","NANCE","NANCE NE"
"1716","Nemaha","Nebraska","31127","NE","NEMAHA","NEMAHA NE"
"1717","Nuckolls","Nebraska","31129","NE","NUCKOLLS","NUCKOLLS NE"
"1718","Otoe","Nebraska","31131","NE","OTOE","OTOE NE"
"1719","Pawnee","Nebraska","31133","NE","PAWNEE","PAWNEE NE"
"1720","Perkins","Nebraska","31135","NE","PERKINS","PERKINS NE"
"1721","Phelps","Nebraska","31137","NE","PHELPS","PHELPS NE"
"1722","Pierce","Nebraska","31139","NE","PIERCE","PIERCE NE"
"1723","Platte","Nebraska","31141","NE","PLATTE","PLATTE NE"
"1724","Polk","Nebraska","31143","NE","POLK","POLK NE"
"1725","Red Willow","Nebraska","31145","NE","RED WILLOW","RED WILLOW NE"
"1726","Richardson","Nebraska","31147","NE","RICHARDSON","RICHARDSON NE"
"1727","Rock","Nebraska","31149","NE","ROCK","ROCK NE"
"1728","Saline","Nebraska","31151","NE","SALINE","SALINE NE"
"1729","Sarpy","Nebraska","31153","NE","SARPY","SARPY NE"
"1730","Saunders","Nebraska","31155","NE","SAUNDERS","SAUNDERS NE"
"1731","Scotts Bluff","Nebraska","31157","NE","SCOTTS BLUFF","SCOTTS BLUFF NE"
"1732","Seward","Nebraska","31159","NE","SEWARD","SEWARD NE"
"1733","Sheridan","Nebraska","31161","NE","SHERIDAN","SHERIDAN NE"
"1734","Sherman","Nebraska","31163","NE","SHERMAN","SHERMAN NE"
"1735","Sioux","Nebraska","31165","NE","SIOUX","SIOUX NE"
"1736","Stanton","Nebraska","31167","NE","STANTON","STANTON NE"
"1737","Thayer","Nebraska","31169","NE","THAYER","THAYER NE"
"1738","Thomas","Nebraska","31171","NE","THOMAS","THOMAS NE"
"1739","Thurston","Nebraska","31173","NE","THURSTON","THURSTON NE"
"1740","Valley","Nebraska","31175","NE","VALLEY","VALLEY NE"
"1741","Washington","Nebraska","31177","NE","WASHINGTON","WASHINGTON NE"
"1742","Wayne","Nebraska","31179","NE","WAYNE","WAYNE NE"
"1743","Webster","Nebraska","31181","NE","WEBSTER","WEBSTER NE"
"1744","Wheeler","Nebraska","31183","NE","WHEELER","WHEELER NE"
"1745","York","Nebraska","31185","NE","YORK","YORK NE"
"1746","Churchill","Nevada","32001","NV","CHURCHILL","CHURCHILL NV"
"1747","Clark","Nevada","32003","NV","CLARK","CLARK NV"
"1748","Douglas","Nevada","32005","NV","DOUGLAS","DOUGLAS NV"
"1749","Elko","Nevada","32007","NV","ELKO","ELKO NV"
"1750","Esmeralda","Nevada","32009","NV","ESMERALDA","ESMERALDA NV"
"1751","Eureka","Nevada","32011","NV","EUREKA","EUREKA NV"
"1752","Humboldt","Nevada","32013","NV","HUMBOLDT","HUMBOLDT NV"
"1753","Lander","Nevada","32015","NV","LANDER","LANDER NV"
"1754","Lincoln","Nevada","32017","NV","LINCOLN","LINCOLN NV"
"1755","Lyon","Nevada","32019","NV","LYON","LYON NV"
"1756","Mineral","Nevada","32021","NV","MINERAL","MINERAL NV"
"1757","Nye","Nevada","32023","NV","NYE","NYE NV"
"1758","Pershing","Nevada","32027","NV","PERSHING","PERSHING NV"
"1759","Storey","Nevada","32029","NV","STOREY","STOREY NV"
"1760","Washoe","Nevada","32031","NV","WASHOE","WASHOE NV"
"1761","White Pine","Nevada","32033","NV","WHITE PINE","WHITE PINE NV"
"1762","Carson City","Nevada","32510","NV","CARSON CITY","CARSON CITY NV"
"1763","Belknap","New Hampshire","33001","NH","BELKNAP","BELKNAP NH"
"1764","Carroll","New Hampshire","33003","NH","CARROLL","CARROLL NH"
"1765","Cheshire","New Hampshire","33005","NH","CHESHIRE","CHESHIRE NH"
"1766","Coos","New Hampshire","33007","NH","COOS","COOS NH"
"1767","Grafton","New Hampshire","33009","NH","GRAFTON","GRAFTON NH"
"1768","Hillsborough","New Hampshire","33011","NH","HILLSBOROUGH","HILLSBOROUGH NH"
"1769","Merrimack","New Hampshire","33013","NH","MERRIMACK","MERRIMACK NH"
"1770","Rockingham","New Hampshire","33015","NH","ROCKINGHAM","ROCKINGHAM NH"
"1771","Strafford","New Hampshire","33017","NH","STRAFFORD","STRAFFORD NH"
"1772","Sullivan","New Hampshire","33019","NH","SULLIVAN","SULLIVAN NH"
"1773","Atlantic","New Jersey","34001","NJ","ATLANTIC","ATLANTIC NJ"
"1774","Bergen","New Jersey","34003","NJ","BERGEN","BERGEN NJ"
"1775","Burlington","New Jersey","34005","NJ","BURLINGTON","BURLINGTON NJ"
"1776","Camden","New Jersey","34007","NJ","CAMDEN","CAMDEN NJ"
"1777","Cape May","New Jersey","34009","NJ","CAPE MAY","CAPE MAY NJ"
"1778","Cumberland","New Jersey","34011","NJ","CUMBERLAND","CUMBERLAND NJ"
"1779","Essex","New Jersey","34013","NJ","ESSEX","ESSEX NJ"
"1780","Gloucester","New Jersey","34015","NJ","GLOUCESTER","GLOUCESTER NJ"
"1781","Hudson","New Jersey","34017","NJ","HUDSON","HUDSON NJ"
"1782","Hunterdon","New Jersey","34019","NJ","HUNTERDON","HUNTERDON NJ"
"1783","Mercer","New Jersey","34021","NJ","MERCER","MERCER NJ"
"1784","Middlesex","New Jersey","34023","NJ","MIDDLESEX","MIDDLESEX NJ"
"1785","Monmouth","New Jersey","34025","NJ","MONMOUTH","MONMOUTH NJ"
"1786","Morris","New Jersey","34027","NJ","MORRIS","MORRIS NJ"
"1787","Ocean","New Jersey","34029","NJ","OCEAN","OCEAN NJ"
"1788","Passaic","New Jersey","34031","NJ","PASSAIC","PASSAIC NJ"
"1789","Salem","New Jersey","34033","NJ","SALEM","SALEM NJ"
"1790","Somerset","New Jersey","34035","NJ","SOMERSET","SOMERSET NJ"
"1791","Sussex","New Jersey","34037","NJ","SUSSEX","SUSSEX NJ"
"1792","Union","New Jersey","34039","NJ","UNION","UNION NJ"
"1793","Warren","New Jersey","34041","NJ","WARREN","WARREN NJ"
"1794","Bernalillo","New Mexico","35001","NM","BERNALILLO","BERNALILLO NM"
"1795","Catron","New Mexico","35003","NM","CATRON","CATRON NM"
"1796","Chaves","New Mexico","35005","NM","CHAVES","CHAVES NM"
"1797","Cibola","New Mexico","35006","NM","CIBOLA","CIBOLA NM"
"1798","Colfax","New Mexico","35007","NM","COLFAX","COLFAX NM"
"1799","Curry","New Mexico","35009","NM","CURRY","CURRY NM"
"1800","De Baca","New Mexico","35011","NM","DE BACA","DE BACA NM"
"1801","Dona Ana","New Mexico","35013","NM","DONA ANA","DONA ANA NM"
"1802","Eddy","New Mexico","35015","NM","EDDY","EDDY NM"
"1803","Grant","New Mexico","35017","NM","GRANT","GRANT NM"
"1804","Guadalupe","New Mexico","35019","NM","GUADALUPE","GUADALUPE NM"
"1805","Harding","New Mexico","35021","NM","HARDING","HARDING NM"
"1806","Hidalgo","New Mexico","35023","NM","HIDALGO","HIDALGO NM"
"1807","Lea","New Mexico","35025","NM","LEA","LEA NM"
"1808","Lincoln","New Mexico","35027","NM","LINCOLN","LINCOLN NM"
"1809","Los Alamos","New Mexico","35028","NM","LOS ALAMOS","LOS ALAMOS NM"
"1810","Luna","New Mexico","35029","NM","LUNA","LUNA NM"
"1811","McKinley","New Mexico","35031","NM","MCKINLEY","MCKINLEY NM"
"1812","Mora","New Mexico","35033","NM","MORA","MORA NM"
"1813","Otero","New Mexico","35035","NM","OTERO","OTERO NM"
"1814","Quay","New Mexico","35037","NM","QUAY","QUAY NM"
"1815","Rio Arriba","New Mexico","35039","NM","RIO ARRIBA","RIO ARRIBA NM"
"1816","Roosevelt","New Mexico","35041","NM","ROOSEVELT","ROOSEVELT NM"
"1817","Sandoval","New Mexico","35043","NM","SANDOVAL","SANDOVAL NM"
"1818","San Juan","New Mexico","35045","NM","SAN JUAN","SAN JUAN NM"
"1819","San Miguel","New Mexico","35047","NM","SAN MIGUEL","SAN MIGUEL NM"
"1820","Santa Fe","New Mexico","35049","NM","SANTA FE","SANTA FE NM"
"1821","Sierra","New Mexico","35051","NM","SIERRA","SIERRA NM"
"1822","Socorro","New Mexico","35053","NM","SOCORRO","SOCORRO NM"
"1823","Taos","New Mexico","35055","NM","TAOS","TAOS NM"
"1824","Torrance","New Mexico","35057","NM","TORRANCE","TORRANCE NM"
"1825","Union","New Mexico","35059","NM","UNION","UNION NM"
"1826","Valencia","New Mexico","35061","NM","VALENCIA","VALENCIA NM"
"1827","Albany","New York","36001","NY","ALBANY","ALBANY NY"
"1828","Allegany","New York","36003","NY","ALLEGANY","ALLEGANY NY"
"1829","Bronx","New York","36005","NY","BRONX","BRONX NY"
"1830","Broome","New York","36007","NY","BROOME","BROOME NY"
"1831","Cattaraugus","New York","36009","NY","CATTARAUGUS","CATTARAUGUS NY"
"1832","Cayuga","New York","36011","NY","CAYUGA","CAYUGA NY"
"1833","Chautauqua","New York","36013","NY","CHAUTAUQUA","CHAUTAUQUA NY"
"1834","Chemung","New York","36015","NY","CHEMUNG","CHEMUNG NY"
"1835","Chenango","New York","36017","NY","CHENANGO","CHENANGO NY"
"1836","Clinton","New York","36019","NY","CLINTON","CLINTON NY"
"1837","Columbia","New York","36021","NY","COLUMBIA","COLUMBIA NY"
"1838","Cortland","New York","36023","NY","CORTLAND","CORTLAND NY"
"1839","Delaware","New York","36025","NY","DELAWARE","DELAWARE NY"
"1840","Dutchess","New York","36027","NY","DUTCHESS","DUTCHESS NY"
"1841","Erie","New York","36029","NY","ERIE","ERIE NY"
"1842","Essex","New York","36031","NY","ESSEX","ESSEX NY"
"1843","Franklin","New York","36033","NY","FRANKLIN","FRANKLIN NY"
"1844","Fulton","New York","36035","NY","FULTON","FULTON NY"
"1845","Genesee","New York","36037","NY","GENESEE","GENESEE NY"
"1846","Greene","New York","36039","NY","GREENE","GREENE NY"
"1847","Hamilton","New York","36041","NY","HAMILTON","HAMILTON NY"
"1848","Herkimer","New York","36043","NY","HERKIMER","HERKIMER NY"
"1849","Jefferson","New York","36045","NY","JEFFERSON","JEFFERSON NY"
"1850","Kings","New York","36047","NY","KINGS","KINGS NY"
"1851","Lewis","New York","36049","NY","LEWIS","LEWIS NY"
"1852","Livingston","New York","36051","NY","LIVINGSTON","LIVINGSTON NY"
"1853","Madison","New York","36053","NY","MADISON","MADISON NY"
"1854","Monroe","New York","36055","NY","MONROE","MONROE NY"
"1855","Montgomery","New York","36057","NY","MONTGOMERY","MONTGOMERY NY"
"1856","Nassau","New York","36059","NY","NASSAU","NASSAU NY"
"1857","New York","New York","36061","NY","NEW YORK","NEW YORK NY"
"1858","Niagara","New York","36063","NY","NIAGARA","NIAGARA NY"
"1859","Oneida","New York","36065","NY","ONEIDA","ONEIDA NY"
"1860","Onondaga","New York","36067","NY","ONONDAGA","ONONDAGA NY"
"1861","Ontario","New York","36069","NY","ONTARIO","ONTARIO NY"
"1862","Orange","New York","36071","NY","ORANGE","ORANGE NY"
"1863","Orleans","New York","36073","NY","ORLEANS","ORLEANS NY"
"1864","Oswego","New York","36075","NY","OSWEGO","OSWEGO NY"
"1865","Otsego","New York","36077","NY","OTSEGO","OTSEGO NY"
"1866","Putnam","New York","36079","NY","PUTNAM","PUTNAM NY"
"1867","Queens","New York","36081","NY","QUEENS","QUEENS NY"
"1868","Rensselaer","New York","36083","NY","RENSSELAER","RENSSELAER NY"
"1869","Richmond","New York","36085","NY","RICHMOND","RICHMOND NY"
"1870","Rockland","New York","36087","NY","ROCKLAND","ROCKLAND NY"
"1871","St. Lawrence","New York","36089","NY","ST. LAWRENCE","SAINT LAWRENCE NY"
"1872","Saratoga","New York","36091","NY","SARATOGA","SARATOGA NY"
"1873","Schenectady","New York","36093","NY","SCHENECTADY","SCHENECTADY NY"
"1874","Schoharie","New York","36095","NY","SCHOHARIE","SCHOHARIE NY"
"1875","Schuyler","New York","36097","NY","SCHUYLER","SCHUYLER NY"
"1876","Seneca","New York","36099","NY","SENECA","SENECA NY"
"1877","Steuben","New York","36101","NY","STEUBEN","STEUBEN NY"
"1878","Suffolk","New York","36103","NY","SUFFOLK","SUFFOLK NY"
"1879","Sullivan","New York","36105","NY","SULLIVAN","SULLIVAN NY"
"1880","Tioga","New York","36107","NY","TIOGA","TIOGA NY"
"1881","Tompkins","New York","36109","NY","TOMPKINS","TOMPKINS NY"
"1882","Ulster","New York","36111","NY","ULSTER","ULSTER NY"
"1883","Warren","New York","36113","NY","WARREN","WARREN NY"
"1884","Washington","New York","36115","NY","WASHINGTON","WASHINGTON NY"
"1885","Wayne","New York","36117","NY","WAYNE","WAYNE NY"
"1886","Westchester","New York","36119","NY","WESTCHESTER","WESTCHESTER NY"
"1887","Wyoming","New York","36121","NY","WYOMING","WYOMING NY"
"1888","Yates","New York","36123","NY","YATES","YATES NY"
"1889","Alamance","North Carolina","37001","NC","ALAMANCE","ALAMANCE NC"
"1890","Alexander","North Carolina","37003","NC","ALEXANDER","ALEXANDER NC"
"1891","Alleghany","North Carolina","37005","NC","ALLEGHANY","ALLEGHANY NC"
"1892","Anson","North Carolina","37007","NC","ANSON","ANSON NC"
"1893","Ashe","North Carolina","37009","NC","ASHE","ASHE NC"
"1894","Avery","North Carolina","37011","NC","AVERY","AVERY NC"
"1895","Beaufort","North Carolina","37013","NC","BEAUFORT","BEAUFORT NC"
"1896","Bertie","North Carolina","37015","NC","BERTIE","BERTIE NC"
"1897","Bladen","North Carolina","37017","NC","BLADEN","BLADEN NC"
"1898","Brunswick","North Carolina","37019","NC","BRUNSWICK","BRUNSWICK NC"
"1899","Buncombe","North Carolina","37021","NC","BUNCOMBE","BUNCOMBE NC"
"1900","Burke","North Carolina","37023","NC","BURKE","BURKE NC"
"1901","Cabarrus","North Carolina","37025","NC","CABARRUS","CABARRUS NC"
"1902","Caldwell","North Carolina","37027","NC","CALDWELL","CALDWELL NC"
"1903","Camden","North Carolina","37029","NC","CAMDEN","CAMDEN NC"
"1904","Carteret","North Carolina","37031","NC","CARTERET","CARTERET NC"
"1905","Caswell","North Carolina","37033","NC","CASWELL","CASWELL NC"
"1906","Catawba","North Carolina","37035","NC","CATAWBA","CATAWBA NC"
"1907","Chatham","North Carolina","37037","NC","CHATHAM","CHATHAM NC"
"1908","Cherokee","North Carolina","37039","NC","CHEROKEE","CHEROKEE NC"
"1909","Chowan","North Carolina","37041","NC","CHOWAN","CHOWAN NC"
"1910","Clay","North Carolina","37043","NC","CLAY","CLAY NC"
"1911","Cleveland","North Carolina","37045","NC","CLEVELAND","CLEVELAND NC"
"1912","Columbus","North Carolina","37047","NC","COLUMBUS","COLUMBUS NC"
"1913","Craven","North Carolina","37049","NC","CRAVEN","CRAVEN NC"
"1914","Cumberland","North Carolina","37051","NC","CUMBERLAND","CUMBERLAND NC"
"1915","Currituck","North Carolina","37053","NC","CURRITUCK","CURRITUCK NC"
"1916","Dare","North Carolina","37055","NC","DARE","DARE NC"
"1917","Davidson","North Carolina","37057","NC","DAVIDSON","DAVIDSON NC"
"1918","Davie","North Carolina","37059","NC","DAVIE","DAVIE NC"
"1919","Duplin","North Carolina","37061","NC","DUPLIN","DUPLIN NC"
"1920","Durham","North Carolina","37063","NC","DURHAM","DURHAM NC"
"1921","Edgecombe","North Carolina","37065","NC","EDGECOMBE","EDGECOMBE NC"
"1922","Forsyth","North Carolina","37067","NC","FORSYTH","FORSYTH NC"
"1923","Franklin","North Carolina","37069","NC","FRANKLIN","FRANKLIN NC"
"1924","Gaston","North Carolina","37071","NC","GASTON","GASTON NC"
"1925","Gates","North Carolina","37073","NC","GATES","GATES NC"
"1926","Graham","North Carolina","37075","NC","GRAHAM","GRAHAM NC"
"1927","Granville","North Carolina","37077","NC","GRANVILLE","GRANVILLE NC"
"1928","Greene","North Carolina","37079","NC","GREENE","GREENE NC"
"1929","Guilford","North Carolina","37081","NC","GUILFORD","GUILFORD NC"
"1930","Halifax","North Carolina","37083","NC","HALIFAX","HALIFAX NC"
"1931","Harnett","North Carolina","37085","NC","HARNETT","HARNETT NC"
"1932","Haywood","North Carolina","37087","NC","HAYWOOD","HAYWOOD NC"
"1933","Henderson","North Carolina","37089","NC","HENDERSON","HENDERSON NC"
"1934","Hertford","North Carolina","37091","NC","HERTFORD","HERTFORD NC"
"1935","Hoke","North Carolina","37093","NC","HOKE","HOKE NC"
"1936","Hyde","North Carolina","37095","NC","HYDE","HYDE NC"
"1937","Iredell","North Carolina","37097","NC","IREDELL","IREDELL NC"
"1938","Jackson","North Carolina","37099","NC","JACKSON","JACKSON NC"
"1939","Johnston","North Carolina","37101","NC","JOHNSTON","JOHNSTON NC"
"1940","Jones","North Carolina","37103","NC","JONES","JONES NC"
"1941","Lee","North Carolina","37105","NC","LEE","LEE NC"
"1942","Lenoir","North Carolina","37107","NC","LENOIR","LENOIR NC"
"1943","Lincoln","North Carolina","37109","NC","LINCOLN","LINCOLN NC"
"1944","McDowell","North Carolina","37111","NC","MCDOWELL","MCDOWELL NC"
"1945","Macon","North Carolina","37113","NC","MACON","MACON NC"
"1946","Madison","North Carolina","37115","NC","MADISON","MADISON NC"
"1947","Martin","North Carolina","37117","NC","MARTIN","MARTIN NC"
"1948","Mecklenburg","North Carolina","37119","NC","MECKLENBURG","MECKLENBURG NC"
"1949","Mitchell","North Carolina","37121","NC","MITCHELL","MITCHELL NC"
"1950","Montgomery","North Carolina","37123","NC","MONTGOMERY","MONTGOMERY NC"
"1951","Moore","North Carolina","37125","NC","MOORE","MOORE NC"
"1952","Nash","North Carolina","37127","NC","NASH","NASH NC"
"1953","New Hanover","North Carolina","37129","NC","NEW HANOVER","NEW HANOVER NC"
"1954","Northampton","North Carolina","37131","NC","NORTHAMPTON","NORTHAMPTON NC"
"1955","Onslow","North Carolina","37133","NC","ONSLOW","ONSLOW NC"
"1956","Orange","North Carolina","37135","NC","ORANGE","ORANGE NC"
"1957","Pamlico","North Carolina","37137","NC","PAMLICO","PAMLICO NC"
"1958","Pasquotank","North Carolina","37139","NC","PASQUOTANK","PASQUOTANK NC"
"1959","Pender","North Carolina","37141","NC","PENDER","PENDER NC"
"1960","Perquimans","North Carolina","37143","NC","PERQUIMANS","PERQUIMANS NC"
"1961","Person","North Carolina","37145","NC","PERSON","PERSON NC"
"1962","Pitt","North Carolina","37147","NC","PITT","PITT NC"
"1963","Polk","North Carolina","37149","NC","POLK","POLK NC"
"1964","Randolph","North Carolina","37151","NC","RANDOLPH","RANDOLPH NC"
"1965","Richmond","North Carolina","37153","NC","RICHMOND","RICHMOND NC"
"1966","Robeson","North Carolina","37155","NC","ROBESON","ROBESON NC"
"1967","Rockingham","North Carolina","37157","NC","ROCKINGHAM","ROCKINGHAM NC"
"1968","Rowan","North Carolina","37159","NC","ROWAN","ROWAN NC"
"1969","Rutherford","North Carolina","37161","NC","RUTHERFORD","RUTHERFORD NC"
"1970","Sampson","North Carolina","37163","NC","SAMPSON","SAMPSON NC"
"1971","Scotland","North Carolina","37165","NC","SCOTLAND","SCOTLAND NC"
"1972","Stanly","North Carolina","37167","NC","STANLY","STANLY NC"
"1973","Stokes","North Carolina","37169","NC","STOKES","STOKES NC"
"1974","Surry","North Carolina","37171","NC","SURRY","SURRY NC"
"1975","Swain","North Carolina","37173","NC","SWAIN","SWAIN NC"
"1976","Transylvania","North Carolina","37175","NC","TRANSYLVANIA","TRANSYLVANIA NC"
"1977","Tyrrell","North Carolina","37177","NC","TYRRELL","TYRRELL NC"
"1978","Union","North Carolina","37179","NC","UNION","UNION NC"
"1979","Vance","North Carolina","37181","NC","VANCE","VANCE NC"
"1980","Wake","North Carolina","37183","NC","WAKE","WAKE NC"
"1981","Warren","North Carolina","37185","NC","WARREN","WARREN NC"
"1982","Washington","North Carolina","37187","NC","WASHINGTON","WASHINGTON NC"
"1983","Watauga","North Carolina","37189","NC","WATAUGA","WATAUGA NC"
"1984","Wayne","North Carolina","37191","NC","WAYNE","WAYNE NC"
"1985","Wilkes","North Carolina","37193","NC","WILKES","WILKES NC"
"1986","Wilson","North Carolina","37195","NC","WILSON","WILSON NC"
"1987","Yadkin","North Carolina","37197","NC","YADKIN","YADKIN NC"
"1988","Yancey","North Carolina","37199","NC","YANCEY","YANCEY NC"
"1989","Adams","North Dakota","38001","ND","ADAMS","ADAMS ND"
"1990","Barnes","North Dakota","38003","ND","BARNES","BARNES ND"
"1991","Benson","North Dakota","38005","ND","BENSON","BENSON ND"
"1992","Billings","North Dakota","38007","ND","BILLINGS","BILLINGS ND"
"1993","Bottineau","North Dakota","38009","ND","BOTTINEAU","BOTTINEAU ND"
"1994","Bowman","North Dakota","38011","ND","BOWMAN","BOWMAN ND"
"1995","Burke","North Dakota","38013","ND","BURKE","BURKE ND"
"1996","Burleigh","North Dakota","38015","ND","BURLEIGH","BURLEIGH ND"
"1997","Cass","North Dakota","38017","ND","CASS","CASS ND"
"1998","Cavalier","North Dakota","38019","ND","CAVALIER","CAVALIER ND"
"1999","Dickey","North Dakota","38021","ND","DICKEY","DICKEY ND"
"2000","Divide","North Dakota","38023","ND","DIVIDE","DIVIDE ND"
"2001","Dunn","North Dakota","38025","ND","DUNN","DUNN ND"
"2002","Eddy","North Dakota","38027","ND","EDDY","EDDY ND"
"2003","Emmons","North Dakota","38029","ND","EMMONS","EMMONS ND"
